"filename", "language", "JSON", "Vue", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\public\css\base.css", "CSS", 0, 0, 0, 1, 0, 0, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\assets\css\base.css", "CSS", 0, 0, 0, 142, 0, 44, 186
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\comment\Comment.vue", "Vue", 0, 522, 0, 0, 49, 53, 624
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\goTop\GoTop.vue", "Vue", 0, 109, 0, 0, 5, 12, 126
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\infoUser\InfoUserContent.vue", "Vue", 0, 108, 0, 0, 2, 0, 110
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\listTable\ListTable.vue", "Vue", 0, 7, 0, 0, 0, 0, 7
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\videoListCard\VideoListCard.vue", "Vue", 0, 17, 0, 0, 5, 1, 23
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\main.js", "JavaScript", 0, 0, 2, 0, 4, -1, 5
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\plugins\element.js", "JavaScript", 0, 0, 61, 0, 0, 3, 64
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\plugins\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\video.js", "JavaScript", 0, 0, 24, 0, 9, 10, 43
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\router\index.js", "JavaScript", 0, 0, 3, 0, 7, 0, 10
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\store\index.js", "JavaScript", 0, 0, 4, 0, 3, 0, 7
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\videoDetail\VideoDetail.vue", "Vue", 0, 533, 0, 0, 128, 50, 711
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\video\Video.vue", "Vue", 0, 47, 0, 0, 1, 0, 48
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\video\videoChildren\VideoList.vue", "Vue", 0, 5, 0, 0, 5, 1, 11
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\package-lock.json", "JSON", 404, 0, 0, 0, 0, 0, 404
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\package.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"Total", "-", 408, 1348, 94, 143, 218, 174, 2385